Date Created,Number of Likes,Source of Tweet,Tweets
2023-06-30 06:50:38+00:00,16,,"#Adipurush 2 Weeks Worldwide Collections (Telugu Version)

#Prabhas @TBO_Updates
https://t.co/jh5jl5HELM"
2023-06-30 06:48:24+00:00,0,,"#Adipurush minted around Rs 90 lakhs on Thursday (day 14). With this, the total collection stands at around Rs 291.98 crore at the domestic box office in all languages.

#SatyaPremKiKatha

https://t.co/ui0Qye65iF"
2023-06-30 06:48:12+00:00,0,,"#Adipurush minted around Rs 90 lakhs on Thursday (day 14). With this, the total collection stands at around Rs 291.98 crore at the domestic box office in all languages.

#SatyaPremKiKatha

https://t.co/kPuvrPoOeD"
2023-06-30 06:48:08+00:00,0,,"#Adipurush minted around Rs 90 lakhs on Thursday (day 14). With this, the total collection stands at around Rs 291.98 crore at the domestic box office in all languages.

#SatyaPremKiKatha

https://t.co/IhwHmk2jTr"
2023-06-30 06:46:21+00:00,0,,#Adipurush lo Kriti Sanon wallpaper cuts unte ivvandi friends 🤗
2023-06-30 06:44:51+00:00,25,,Lagta hai sorry bolne ke liye sabko personally phone kar raha hai #Adipurush https://t.co/XViz5qyWjB
2023-06-30 06:43:31+00:00,0,,@manojmuntashir Dear manjan muntashir ji #Adipurush dekhne k Baad tmhe gali dene ka bada mann krta h
2023-06-30 06:42:36+00:00,0,,Adipurush’s OTT release expedited? – Here is the clarity #Worldiqapp #StayInformed #StayInspired #StayAhead #PulseofNow #Adipurush #ott https://t.co/jD7PoISNsb
2023-06-30 06:41:46+00:00,1,,"A rumour has started circulating that #Adipurush has been attacked by hackers and that it has gotten leaked online before its original digital release

https://t.co/xLqQUZCiwP"
2023-06-30 06:41:43+00:00,12,,"#Veeran Streaming Now On @PrimeVideoIN

#Anuragam Will Be Streaming Soon On HR OTT

#Adipurush Tamil (480p) Is Available On Einthusan https://t.co/ItInbbNfs4"
2023-06-30 06:40:57+00:00,9,,"うちも届いた〜😆

 #Adipurush https://t.co/hRPyyt8ait"
2023-06-30 06:39:37+00:00,0,,"Chittoor town two weeks gross - 46.05L 

#Adipurush"
2023-06-30 06:39:25+00:00,0,,@virendersehwag #Adipurush #earthquake https://t.co/EMfEr9M5VF
2023-06-30 06:39:17+00:00,2,,"Hello friends those who are not watching in theatres, here u go #Adipurush HD movie link, enjoy with your family guys...

www.1TamilMV.kids - Adipurush (2023) Telugu HDRip - 1080p - x264 - HQ Clean Aud - 2.9GB.mkv.torrent"
2023-06-30 06:39:04+00:00,25,,"Vizag City Collections : 30-06-2023

Noon Show :

#EeNagaranikiEmaindi :

Sarat - 36700

#SPY :

Sangam - 25270
Sree Kanya - 10180
Sharada - 12855
Sri Melody - 34700
SVC Gokul 

#Samajavaragamana :

Sree Rama - 38945
Sree Leelamahal - 6430

#Adipurush :

Jagadamba - 13130"
2023-06-30 06:38:54+00:00,2,,"Tirupati 2 weeks gross inclu renigunta and Padma -  1.53cr 

#Adipurush"
2023-06-30 06:35:18+00:00,0,,"Here's the playlist of Ramanand Sagar's (Ji) Ramayan. I'm suggesting to @manojmuntashir
@omraut to watch all episodes.  Bhagwan Shree Ram aapko Sadbuddhi de. Aur Haan, apne 600 Cr.  Ko aag lagana mat bhulna.
#Adipurush

https://t.co/az6CIiXmyA"
2023-06-30 06:34:37+00:00,4,,"Adipurush 14 days Nizam Telugu &amp; Hindi gross &amp; share including gst 

#Adipurush : 59.16 Cr Gross 

#Adipurush : 39.04 Cr Share https://t.co/stDCd28JHk"
